"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 01- 01","88.15","75.69","88.84","74.27","7.52M","17.21%"
"2021- 12- 01","75.21","67.01","77.44","62.43","7.40M","13.64%"
"2021- 11- 01","66.18","83.36","84.97","64.43","9.44M","-20.81%"
"2021- 10- 01","83.57","75.12","85.41","74.23","9.22M","11.38%"
"2021- 09- 01","75.03","68.55","76.67","67.12","7.75M","9.53%"
"2021- 08- 01","68.50","73.91","73.95","61.74","7.93M","-7.37%"
"2021- 07- 01","73.95","73.50","76.98","65.21","8.11M","0.65%"
"2021- 06- 01","73.47","66.68","74.45","66.41","7.79M","10.78%"
"2021- 05- 01","66.32","63.64","67.52","61.56","7.51M","4.31%"
"2021- 04- 01","63.58","59.49","65.47","57.63","7.39M","7.47%"
"2021- 03- 01","59.16","61.95","67.98","57.25","9.79M","-3.80%"
"2021- 02- 01","61.50","51.99","63.81","51.64","7.60M","17.82%"
"2021- 01- 01","52.20","48.40","53.93","47.18","7.21M","7.58%"
"2020- 12- 01","48.52","45.08","49.28","43.92","6.21M","7.01%"
"2020- 11- 01","45.34","35.24","46.26","33.64","7.03M","26.68%"
"2020- 10- 01","35.79","39.90","41.70","34.92","7.35M","-11.01%"
"2020- 09- 01","40.22","42.83","43.43","36.13","6.75M","-5.61%"
"2020- 08- 01","42.61","40.39","43.78","39.58","6.37M","5.81%"
"2020- 07- 01","40.27","39.84","42.40","38.54","6.79M","2.55%"
"2020- 06- 01","39.27","35.21","41.63","34.27","7.64M","10.65%"
"2020- 05- 01","35.49","19.04","35.77","18.05","5.91M","88.38%"
"2020- 04- 01","18.84","20.10","29.13","-40.32","14.56M","-8.01%"
"2020- 03- 01","20.48","43.70","48.66","19.27","16.68M","-54.24%"
"2020- 02- 01","44.76","51.01","54.50","43.85","13.33M","-13.19%"
"2020- 01- 01","51.56","61.60","65.65","50.97","12.54M","-15.56%"
"2019- 12- 01","61.06","55.47","62.34","55.35","9.27M","10.68%"
"2019- 11- 01","55.17","54.15","58.74","54.07","9.47M","1.83%"
"2019- 10- 01","54.18","54.28","56.92","50.99","11.55M","0.20%"
"2019- 09- 01","54.07","55.00","63.38","52.84","13.08M","-1.87%"
"2019- 08- 01","55.10","57.85","57.99","50.52","14.04M","-5.94%"
"2019- 07- 01","58.58","59.27","60.94","54.72","11.80M","0.19%"
"2019- 06- 01","58.47","53.42","59.93","50.60","12.46M","9.29%"
"2019- 05- 01","53.50","63.40","63.93","53.05","16.25M","-16.29%"
"2019- 04- 01","63.91","60.24","66.60","60.13","13.33M","6.27%"
"2019- 03- 01","60.14","57.22","60.73","54.52","11.96M","5.10%"
"2019- 02- 01","57.22","54.01","57.81","51.23","10.55M","6.38%"
"2019- 01- 01","53.79","45.80","55.37","44.35","14.02M","18.45%"
"2018- 12- 01","45.41","52.45","54.55","42.36","12.16M","-10.84%"
"2018- 11- 01","50.93","64.88","65.39","49.41","15.12M","-22.02%"
"2018- 10- 01","65.31","73.29","76.90","64.81","13.04M","-10.84%"
"2018- 09- 01","73.25","69.89","73.73","66.86","10.09M","4.94%"
"2018- 08- 01","69.80","68.43","70.50","64.43","10.42M","1.51%"
"2018- 07- 01","68.76","73.62","75.27","67.03","10.91M","-7.27%"
"2018- 06- 01","74.15","67.07","74.46","63.59","12.86M","10.61%"
"2018- 05- 01","67.04","68.56","72.83","65.80","15.04M","-2.23%"
"2018- 04- 01","68.57","64.91","69.56","61.81","12.71M","5.59%"
"2018- 03- 01","64.94","61.55","66.55","59.95","12.38M","5.35%"
"2018- 02- 01","61.64","64.76","66.30","58.07","11.99M","-4.77%"
"2018- 01- 01","64.73","60.20","66.66","60.10","12.77M","7.13%"
"2017- 12- 01","60.42","57.42","60.51","55.82","9.49M","5.26%"
"2017- 11- 01","57.40","54.65","59.05","53.89","12.53M","5.55%"
"2017- 10- 01","54.38","51.64","54.85","49.10","11.95M","5.24%"
"2017- 09- 01","51.67","47.08","52.86","46.56","12.24M","9.40%"
"2017- 08- 01","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"2017- 07- 01","50.17","46.28","50.41","43.65","14.57M","8.97%"
"2017- 06- 01","46.04","48.63","49.17","42.05","15.23M","-4.72%"
"2017- 05- 01","48.32","49.17","52.00","43.76","14.25M","-2.05%"
"2017- 04- 01","49.33","50.69","53.76","48.20","9.72M","-2.51%"
"2017- 03- 01","50.60","53.95","54.44","47.01","12.60M","-6.31%"
"2017- 02- 01","54.01","52.76","54.94","51.22","9.09M","2.27%"
"2017- 01- 01","52.81","54.20","55.24","50.71","10.11M","-1.69%"
