currency,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
USD,"1,126.43","1,094.97","1,053.30","1,132.10","1,161.11","1,130.61","1,101.08","1,166.51","1,179.90","1,145.07","1,293.68"
JPY,"1,412.96","1,123.73",996.37,935.06,"1,069.31","1,008.29",997.07,"1,070.63","1,105.36","1,041.92",985.24
EUR,"1,447.58","1,453.47","1,398.81","1,255.78","1,284.10","1,276.44","1,299.65","1,305.86","1,346.11","1,353.40","1,359.46"
GBP,"1,784.59","1,711.43","1,734.65","1,730.56","1,572.80","1,455.29","1,469.19","1,488.50","1,513.26","1,574.82","1,594.39"
CAD,"1,127.02","1,063.13",953.56,885.61,876.60,871.61,849.50,879.19,880.04,913.68,993.00
CHF,"1,201.01","1,180.84","1,151.46","1,175.96","1,178.11","1,148.56","1,125.04","1,174.19","1,257.49","1,252.09","1,353.99"
HKD,145.21,141.16,135.83,146.03,149.59,145.10,140.48,148.89,152.13,147.31,165.20
CNY,178.52,178.11,170.95,179.52,174.43,167.47,166.48,168.68,170.90,177.56,191.73
THB,36.24,35.69,32.43,33.05,32.89,33.33,34.05,37.61,37.74,35.82,36.88
IDR,12.04,10.58,8.89,8.46,8.74,8.45,7.74,8.26,8.15,8.02,8.71
SEK,166.27,168.06,153.85,134.30,135.72,132.44,126.74,123.34,128.47,133.39,127.88
AUD,"1,166.39","1,060.04",949.51,850.42,863.98,866.81,822.93,810.51,813.89,859.82,896.66
DKK,194.50,194.90,187.63,168.36,172.45,171.59,174.37,174.88,180.58,181.98,182.69
NOK,193.55,186.41,167.40,140.33,138.20,136.84,135.33,132.56,125.65,133.18,134.55
SAR,300.36,291.97,280.82,301.81,309.58,301.47,293.57,311.02,314.41,305.27,344.52
KWD,"4,021.71","3,857.91","3,700.31","3,761.21","3,841.65","3,727.12","3,645.27","3,838.69","3,845.70","3,794.90","4,221.11"
BHD,"2,988.03","2,904.96","2,794.26","3,003.02","3,080.33","2,998.39","2,918.57","3,094.15","3,127.89","3,037.21","3,431.18"
AED,306.68,298.12,286.77,308.23,316.12,307.82,299.77,317.57,321.22,311.74,352.21
SGD,901.32,874.99,831.02,823.31,840.64,818.81,816.05,855.04,855.07,851.91,937.77
MYR,364.70,348.01,321.90,290.88,280.40,262.89,272.95,281.54,280.70,276.24,293.72
NZD,912.07,897.58,874.19,790.49,809.33,803.71,762.23,768.27,766.80,809.49,820.18
TWD,38.09,36.90,34.74,35.65,36.02,37.14,36.55,37.78,40.07,41.02,43.39
PHP,26.69,25.84,23.72,24.86,24.45,22.44,20.91,22.53,23.78,23.23,23.71
VND,5.41,5.23,4.97,5.16,5.19,4.98,4.78,5.02,5.08,4.99,5.52
PLN,346.54,346.66,334.40,300.12,294.39,299.90,305.14,303.94,303.08,296.54,290.18
RUB,36.26,34.40,27.85,18.65,17.42,19.38,17.60,18.04,16.41,15.54,19.31
ZAR,137.70,114.04,97.17,89.03,79.21,85.03,83.60,80.73,72.00,77.49,79.09
INR,21.13,18.80,17.26,17.65,17.28,17.36,16.12,16.57,15.92,15.48,16.43
PKR,12.08,10.80,10.43,11.01,11.08,10.73,9.07,7.77,7.29,7.03,6.34
BDT,13.78,14.04,13.58,14.54,14.78,13.93,13.14,13.81,13.90,13.46,13.83
EGP,185.63,159.58,148.75,146.79,123.33,63.42,61.80,69.49,74.59,72.95,68.10
MXN,85.56,85.87,79.16,71.39,62.30,59.93,57.29,60.60,55.18,56.44,64.38
BRL,578.93,510.04,448.29,344.19,334.82,354.30,303.16,295.88,231.18,212.41,250.80
BND,901.43,875.25,831.11,823.55,840.83,818.73,816.07,855.02,854.77,851.95,937.70
ILS,292.11,303.13,294.70,291.54,302.40,314.20,306.45,327.55,342.96,354.66,384.98
JOD,"1,591.07","1,546.69","1,487.76","1,597.73","1,639.34","1,594.59","1,551.79","1,645.32","1,664.15","1,615.10","1,824.46"
ARS,248.39,201.50,134.07,,,,,,,,
CZK,57.67,56.04,50.83,46.04,47.50,48.50,50.67,50.88,50.90,52.78,55.33
MNT,0.83,0.73,0.58,0.58,0.54,0.46,0.45,0.44,0.42,0.40,0.41
FJD,624.92,593.00,554.85,556.51,571.17,543.47,523.48,534.63,539.03,548.03,584.18
KHR,27.91,27.35,26.26,27.74,28.43,28.00,27.37,28.94,29.08,28.22,31.70
TRY,626.16,577.53,481.69,416.94,384.78,310.47,234.47,205.32,170.10,131.85,78.60
HUF,5.02,4.90,4.54,4.05,4.12,4.13,4.08,4.01,3.84,3.78,3.48
QAR,309.41,300.85,289.30,311.01,318.91,308.41,302.41,320.03,323.13,313.41,353.71
XAU,"60,385.20","49,710.98","42,861.23","42,171.90","46,549.08","45,719.45","44,904.63","52,303.17","67,134.15","66,261.93","74,756.69"
XAG,,,612.41,570.33,637.97,620.66,555.70,608.05,775.97,925.79,901.74
KZT,,,,,,3.45,3.20,3.04,2.86,2.68,2.80
NPR,,,,,,10.86,10.08,10.35,9.95,9.68,10.27
