2019.01.01 ~ 2019.12.31(Ö~_Щ,,,,,,,
ūȭǥü/strong>,ūȭ_strong>,۱ݼ/strong>,,Ƕ»,,Ÿű⁘뼯strong>,빌ȯꀲ
,,Ƕ,ހǶ,罇,ƄǶ,,
USD,̱ ޷,"1,177.78","1,155.25","1,186.92","1,146.10","1,166.51",1.0000
JPY, 100,"1,081.01","1,060.25","1,089.36","1,051.90","1,070.63",0.9176
EUR,/Ǖ /μ/td>,"1,318.91","1,292.81","1,331.58","1,280.14","1,305.86",1.1197
GBP,Ƅ,"1,503.38","1,473.62","1,517.82","1,459.19","1,488.50",1.2766
CAD,ĳ٠޷,887.98,870.40,896.51,861.88,879.19,0.7537
CHF,' ǁ,"1,185.93","1,162.45","1,197.32","1,151.06","1,174.19",1.0065
HKD,ȫġ ޷,150.38,147.41,151.82,145.96,148.89,0.1276
CNY,_ 'ȼ/td>,170.36,167.00,177.11,160.25,168.68,0.1447
THB,ł ن,37.98,37.24,38.36,36.86,37.61,0.0322
IDR,׽þƠ100燇Ƽ/span>,8.34,8.18,8.75,7.69,8.26,0.0071
SEK,ũγ׼/td>,124.57,122.11,125.80,120.88,123.34,0.1058
AUD,ȣV ޷,818.61,802.41,826.47,794.55,810.51,0.6951
DKK,ũ ũγ׼/td>,176.62,173.14,178.37,171.39,174.88,0.1499
NOK,븣 ũγ׼/td>,133.88,131.24,135.21,129.91,132.56,0.1137
SAR,翬𠸮˼/td>,314.13,307.91,326.57,290.81,311.02,0.2666
KWD,ĭƮ 𳪸,"3,877.08","3,800.31","4,107.40","3,569.99","3,838.69",3.2908
BHD,ٷ 𳪸,"3,125.08","3,063.21","3,279.79","2,846.62","3,094.15",2.6525
AED,U.A.E 𸣇Լ/td>,320.74,314.40,333.45,296.94,317.57,0.2722
SGD,̰Ʒ ޷,863.59,846.50,872.14,837.95,855.04,0.7331
MYR,vƠ꼯td>,0.00,0.00,0.00,0.00,281.54,0.2414
NZD,z場޷,775.95,760.59,783.40,753.14,768.27,0.6590
TWD,ŸϠ޷,0.00,0.00,40.04,35.51,37.78,0.0324
PHP,Ǌǉ ƤҼ/td>,22.75,22.31,24.56,21.19,22.53,0.0193
VND,Ʈ 100,5.06,4.97,5.61,4.43,5.02,0.0043
PLN,ƺ__n__/td>,306.98,300.91,328.25,279.63,303.94,0.2606
RUB,þƠ纭,18.21,17.86,19.29,15.88,18.04,0.0155
ZAR,ư 弯td>,81.53,79.93,87.18,74.27,80.73,0.0692
INR, 燇,15.18,14.88,17.89,15.58,16.57,0.0142
PKR,ƄŰź 燇,0.00,0.00,0.00,0.00,7.77,0.0067
BDT,汛󵥽àŸī,0.00,0.00,0.00,0.00,13.81,0.0118
EGP,}Ʈ Ƅ,0.00,0.00,0.00,0.00,69.49,0.0595
MXN,߽ÄڠƤҼ/td>,61.20,60.00,67.26,53.34,60.60,0.0520
BRL,궳z ˼/td>,0.00,0.00,328.42,260.38,295.88,0.2538
BND,귧 ޷,0.00,0.00,889.22,803.73,855.02,0.7331
ILS,󿤠Č,0.00,0.00,353.74,301.35,327.55,0.2807
JOD,丣ܠ𳪸,0.00,0.00,"1,711.13","1,513.70","1,645.32",1.4104
CZK,üĚ Ě糪,0.00,0.00,54.94,46.81,50.88,0.0436
MNT,񠅵׸,0.00,0.00,0.00,0.00,0.44,0.0004
FJD,Ǉv ޷,0.00,0.00,577.39,491.86,534.63,0.4584
KHR,į𾆠,0.00,0.00,31.25,26.63,28.94,0.0248
TRY,ƢŰ 󼯴d>,207.37,203.27,221.74,188.90,205.32,0.1761
HUF,ǫ ƷƮ,4.05,3.98,4.33,3.70,4.01,0.0034
QAR,īŸ ˼/td>,0.00,0.00,1.47,1.15,320.03,0.2743
KZT,īȥź ŞԼ/td>,0.00,0.00,0.00,0.00,3.04,0.0026
NPR,׆Ƞ燇,0.00,0.00,0.00,0.00,10.35,0.0089
XAU,GOLD 1g,"52,826.19","51,780.14",0.00,0.00,"52,303.17",44.7887
XAG,SILVER 1g,0.00,0.00,0.00,0.00,608.05,0.5208
